id,cluster,url,slug,source,old_destination,new_destination,type,status,reason
346,BTFD,https://bitcoininfonews.com/moodengs-moon-is-history-but-btfd-at-0-0002-is-still-the-best-new-meme-coin-to-join-for-short-term-with-limited-100-bonus/,moodengs-moon-is-history-but-btfd-at-0-0002-is-still-the-best-new-meme-coin-to-join-for-short-term-with-limited-100-bonus,moodengs-moon-is-history-but-btfd-at-0-0002-is-still-the-best-new-meme-coin-to-join-for-short-term-with-limited-100-bonus/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
347,BTFD,https://bitcoininfonews.com/no-do-overs-after-may-26-btfds-presale-exit-nears-with-mew-goat-and-more-lining-up-among-the-4-best-meme-coins-to-invest-in-now/,no-do-overs-after-may-26-btfds-presale-exit-nears-with-mew-goat-and-more-lining-up-among-the-4-best-meme-coins-to-invest-in-now,no-do-overs-after-may-26-btfds-presale-exit-nears-with-mew-goat-and-more-lining-up-among-the-4-best-meme-coins-to-invest-in-now/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
348,BTFD,https://bitcoininfonews.com/official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26/,official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26,official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
349,BTFD,https://bitcoininfonews.com/presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut/,presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut,presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
350,BTFD,https://bitcoininfonews.com/top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights/,top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights,top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
351,BTFD,https://bitcoininfonews.com/top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26/,top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26,top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
352,BTFD,https://bitcoininfonews.com/top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates/,top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates,top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
353,BTFD,https://bitcoininfonews.com/why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump/,why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump,why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
354,BlockDAG,https://bitcoininfonews.com/2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag,2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
355,BlockDAG,https://bitcoininfonews.com/4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada/,4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada,4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
356,BlockDAG,https://bitcoininfonews.com/4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada/,4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada,4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
357,BlockDAG,https://bitcoininfonews.com/4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay/,4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay,4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
358,BlockDAG,https://bitcoininfonews.com/aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot/,aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot,aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
359,BlockDAG,https://bitcoininfonews.com/aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi/,aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi,aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
360,BlockDAG,https://bitcoininfonews.com/ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale/,ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale,ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
361,BlockDAG,https://bitcoininfonews.com/ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum/,ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum,ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
362,BlockDAG,https://bitcoininfonews.com/ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale/,ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale,ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
363,BlockDAG,https://bitcoininfonews.com/algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale/,algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale,algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
364,BlockDAG,https://bitcoininfonews.com/alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale/,alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale,alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
365,BlockDAG,https://bitcoininfonews.com/apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale/,apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale,apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
366,BlockDAG,https://bitcoininfonews.com/arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today/,arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today,arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
367,BlockDAG,https://bitcoininfonews.com/aster-bnb-momentum-blockdags-420m-presale-surge/,aster-bnb-momentum-blockdags-420m-presale-surge,aster-bnb-momentum-blockdags-420m-presale-surge/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
