id,cluster,source,url,current_destination,type,status,action,reason
874,BTFD,official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26/,https://bitcoininfonews.com/official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
875,BTFD,presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut/,https://bitcoininfonews.com/presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
876,BTFD,top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights/,https://bitcoininfonews.com/top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
877,BTFD,top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26/,https://bitcoininfonews.com/top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
878,BTFD,top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates/,https://bitcoininfonews.com/top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
879,BTFD,why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump/,https://bitcoininfonews.com/why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
880,BlockDAG,2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,https://bitcoininfonews.com/2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
881,BlockDAG,4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada/,https://bitcoininfonews.com/4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
882,BlockDAG,4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada/,https://bitcoininfonews.com/4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
883,BlockDAG,4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay/,https://bitcoininfonews.com/4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
884,BlockDAG,aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot/,https://bitcoininfonews.com/aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
885,BlockDAG,aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi/,https://bitcoininfonews.com/aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
886,BlockDAG,ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale/,https://bitcoininfonews.com/ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
887,BlockDAG,ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum/,https://bitcoininfonews.com/ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
888,BlockDAG,ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale/,https://bitcoininfonews.com/ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
889,BlockDAG,algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale/,https://bitcoininfonews.com/algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
890,BlockDAG,alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale/,https://bitcoininfonews.com/alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
891,BlockDAG,apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale/,https://bitcoininfonews.com/apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
892,BlockDAG,arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today/,https://bitcoininfonews.com/arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today/,https://bitcoininfonews.com/DELETE,301,active,delete_in_rankmath_ui,Broken DELETE redirect still active; should be removed so trashed URL can return 404.
